htype,region,Project Type,Bedroom(s),Bathroom(s),Swimming Pool,Parking,Toilet(s),Construction Year,Garage,Nb. Rooms,Air-con,Beachfront,Interior Surface New,Land Surface New,Access for Disabled People,Access to rooftop,Air Conditioning,Alarm System,Automated Garage,Balcony,Basement,Carport,Centralized Ventilation System,Close to Bus Stop,Close to Golf Course,Close to Hospital,Close to School,Close to Shops,Cooking Service,Dressing,Electric Generator,Energy Efficiency - High,Fenced,Fire Alarm System,Fireplace,Fitness Room,Freehold Land,Furnished,Garden,Guarded Parking,House Cleaning,Indoor Spa,Internet/Wi-Fi,Laundry Room,Lift,Located in a private morcellement,Located in a residential complex,Located in a senior residence,Mountain View,Office,Recently Refurbished,River View,Sea Access,Sea View,Secured Parking,Security Bars,Sewage System,Solar Panels,Solar Water Heater,Soundproof,TV Room,Tennis Court,Veranda,Watchman,Water Heater,Water Tank,Yard,price
penthouse,"Pointe aux Biches, North",none,3,3,Common Pool,Yes,3,2011,no,,,Yes,150.0,,no,no,yes,no,no,no,no,no,no,yes,yes,yes,yes,yes,no,no,no,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no,yes,yes,no,no,no,"22,000,000"
penthouse,"Tamarin, West",none,3,3,Common Pool,Yes,3,,no,,,Yes,135.0,,no,no,yes,yes,no,no,no,no,no,yes,yes,yes,yes,yes,no,yes,no,no,no,no,no,no,no,yes,yes,yes,no,no,yes,yes,no,no,yes,no,yes,no,no,no,yes,yes,yes,no,no,no,yes,no,no,no,no,yes,yes,yes,no,"30,000,000"
penthouse,"Black River, West",none,2,2,Private Pool,Yes,3,2014,no,3,2.0,Yes,130.0,,no,no,yes,no,no,yes,no,no,no,yes,yes,yes,yes,yes,no,no,yes,no,yes,yes,no,no,no,yes,yes,yes,yes,no,yes,yes,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,yes,yes,no,yes,no,"15,000,000"
penthouse,"Trou aux Biches, North",PDS,3,3,Common Pool,Yes,3,,no,,,,155.0,,no,no,yes,no,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,yes,yes,yes,no,yes,no,"48,336,800"
penthouse,"Haute Rive, North",G+2,4,3,Common Pool,Yes,,,no,,,,151.0,,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,no,no,no,no,no,no,yes,yes,yes,yes,yes,no,"18,000,000"
penthouse,"Péreybère, North",G+2,2,2,Common Pool,Yes,2,,no,,,,181.0,,no,no,yes,no,no,no,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,yes,no,no,no,yes,yes,yes,yes,no,"17,249,983"
penthouse,"Haute Rive, North",PDS,3,3,Private Pool,,,2020,no,,,,247.0,,no,no,yes,no,no,no,no,no,no,yes,yes,no,no,no,no,yes,yes,no,no,no,no,yes,yes,no,no,yes,no,yes,yes,yes,no,no,yes,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,yes,yes,yes,no,yes,no,"48,211,200"
penthouse,"Pointe d'Esny, South",PDS,2,2,Common Pool,,,2022,no,2,,,115.0,,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,yes,yes,no,no,yes,no,no,no,no,no,no,yes,no,yes,no,no,no,yes,no,yes,no,yes,no,no,no,no,no,no,yes,no,yes,no,"8,800,000"
penthouse,"Poste Lafayette, East",Residential Project,3,2,Private Pool,Yes,2,2021,no,,,Yes,227.0,,no,no,no,yes,no,yes,no,no,no,yes,no,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,no,no,no,no,no,no,no,yes,no,no,no,yes,"18,500,000"
penthouse,"Bain Boeuf, North",RES,3,3,Common Pool,Yes,3,,no,8,3.0,,174.0,,yes,no,yes,no,no,yes,no,no,no,yes,no,yes,yes,yes,no,no,yes,no,yes,no,no,no,no,yes,no,yes,no,yes,yes,yes,no,no,no,no,no,no,no,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,no,"14,500,000"
